loss,accuracy,val_loss,val_accuracy,lr
1.2367192506790161,0.7755520343780518,1.1520342826843262,0.7315741777420044,0.001
1.0654404163360596,0.8313225507736206,1.0617033243179321,0.7770700454711914,0.001
1.0355525016784668,0.8404279351234436,1.0109096765518188,0.8325750827789307,0.001
0.9764215350151062,0.8499886393547058,0.9534417986869812,0.8616924285888672,0.001
0.9302558302879333,0.855907142162323,0.904167890548706,0.8607825040817261,0.001
0.8879584074020386,0.8625085353851318,0.8717023730278015,0.8589627146720886,0.001
0.8387972116470337,0.8604598045349121,0.8335733413696289,0.8607825040817261,0.001
0.7900877594947815,0.8625085353851318,0.7917786240577698,0.8589627146720886,0.001
0.7620280981063843,0.8656954169273376,0.75746750831604,0.8635122776031494,0.001
0.7332497239112854,0.8647848963737488,0.7213085293769836,0.8616924285888672,0.001
0.6993889808654785,0.8590940237045288,0.6890515089035034,0.8598726391792297,0.001
0.6583418846130371,0.8656954169273376,0.6532824635505676,0.8589627146720886,0.001
0.629640519618988,0.8659230470657349,0.6270145773887634,0.8644222021102905,0.001
0.6009675860404968,0.8659230470657349,0.6026475429534912,0.8626023530960083,0.001
0.5785757303237915,0.8613703846931458,0.580958902835846,0.8635122776031494,0.001
0.5472245812416077,0.8663783073425293,0.5479710698127747,0.8644222021102905,0.001
0.529714822769165,0.8629637956619263,0.5326716899871826,0.8607825040817261,0.001
0.5109903216362,0.8672888875007629,0.5285720229148865,0.8607825040817261,0.001
0.4990377128124237,0.8666059374809265,0.49711474776268005,0.8616924285888672,0.001
0.4779459834098816,0.8641020059585571,0.4796751141548157,0.8607825040817261,0.001
0.45935943722724915,0.868427038192749,0.4733962118625641,0.8626023530960083,0.001
0.4491129517555237,0.865012526512146,0.4614173471927643,0.8653321266174316,0.001
0.4459911584854126,0.8672888875007629,0.44821950793266296,0.8616924285888672,0.001
0.4323500692844391,0.8645572662353516,0.44532597064971924,0.8607825040817261,0.001
0.4265511631965637,0.8654677867889404,0.4365595877170563,0.8644222021102905,0.001
0.4150676727294922,0.8677441477775574,0.43280208110809326,0.8607825040817261,0.001
0.41548776626586914,0.8629637956619263,0.4211450517177582,0.8653321266174316,0.001
