,fpr,tpr
0,0.0,0.0
1,0.0,0.01665034280117532
2,0.0,0.02840352595494613
3,0.0,0.030362389813907934
4,0.0,0.03232125367286973
5,0.0,0.04407443682664055
6,0.0,0.04603330068560235
7,0.0,0.05484818805093046
8,0.0,0.05680705190989226
9,0.0,0.16552399608227228
10,0.002840909090909091,0.16552399608227228
11,0.002840909090909091,0.20274240940254654
12,0.005681818181818182,0.20274240940254654
13,0.005681818181818182,0.22918707149853085
14,0.008522727272727272,0.22918707149853085
15,0.008522727272727272,0.23604309500489715
16,0.011363636363636364,0.23604309500489715
17,0.011363636363636364,0.30656219392752204
18,0.014204545454545454,0.30656219392752204
19,0.014204545454545454,0.346718903036239
20,0.017045454545454544,0.346718903036239
21,0.017045454545454544,0.39373163565132224
22,0.019886363636363636,0.39373163565132224
23,0.019886363636363636,0.395690499510284
24,0.022727272727272728,0.395690499510284
25,0.022727272727272728,0.39862879529872675
26,0.02556818181818182,0.39862879529872675
27,0.02556818181818182,0.42605288932419194
28,0.028409090909090908,0.42605288932419194
29,0.028409090909090908,0.43192948090107736
30,0.03125,0.43192948090107736
31,0.03125,0.4407443682664055
32,0.03409090909090909,0.4407443682664055
33,0.03409090909090909,0.465230166503428
34,0.036931818181818184,0.465230166503428
35,0.036931818181818184,0.4681684622918707
36,0.03977272727272727,0.4681684622918707
37,0.03977272727272727,0.4730656219392752
38,0.04261363636363636,0.4730656219392752
39,0.04261363636363636,0.48188050930460335
40,0.045454545454545456,0.48188050930460335
41,0.045454545454545456,0.544564152791381
42,0.048295454545454544,0.544564152791381
43,0.048295454545454544,0.5504407443682664
44,0.05113636363636364,0.5504407443682664
45,0.05113636363636364,0.55435847208619
46,0.05397727272727273,0.55435847208619
47,0.05397727272727273,0.5612144955925563
48,0.056818181818181816,0.5612144955925563
49,0.056818181818181816,0.5759059745347699
50,0.05965909090909091,0.5759059745347699
51,0.05965909090909091,0.5827619980411362
52,0.0625,0.5827619980411362
53,0.0625,0.594515181194907
54,0.06534090909090909,0.594515181194907
55,0.06534090909090909,0.6150832517140059
56,0.06818181818181818,0.6150832517140059
57,0.06818181818181818,0.6327130264446621
58,0.07102272727272728,0.6327130264446621
59,0.07102272727272728,0.6474045053868757
60,0.07386363636363637,0.6474045053868757
61,0.07386363636363637,0.6513222331047992
62,0.07670454545454546,0.6513222331047992
63,0.07670454545454546,0.6542605288932419
64,0.07954545454545454,0.6542605288932419
65,0.07954545454545454,0.6699314397649363
66,0.08238636363636363,0.6699314397649363
67,0.08238636363636363,0.6816846229187071
68,0.08522727272727272,0.6816846229187071
69,0.08522727272727272,0.6846229187071499
70,0.08806818181818182,0.6846229187071499
71,0.08806818181818182,0.6856023506366308
72,0.09090909090909091,0.6856023506366308
73,0.09090909090909091,0.6885406464250735
74,0.09375,0.6885406464250735
75,0.09375,0.692458374142997
76,0.09659090909090909,0.692458374142997
77,0.09659090909090909,0.693437806072478
78,0.09943181818181818,0.693437806072478
79,0.09943181818181818,0.6983349657198825
80,0.10511363636363637,0.6983349657198825
81,0.10511363636363637,0.7061704211557297
82,0.10795454545454546,0.7061704211557297
83,0.10795454545454546,0.7091087169441724
84,0.11079545454545454,0.7091087169441724
85,0.11079545454545454,0.7198824681684622
86,0.11363636363636363,0.7198824681684622
87,0.11363636363636363,0.732615083251714
88,0.11647727272727272,0.732615083251714
89,0.11647727272727272,0.7355533790401567
90,0.11931818181818182,0.7355533790401567
91,0.11931818181818182,0.7404505386875612
92,0.12215909090909091,0.7404505386875612
93,0.12215909090909091,0.7590597453476984
94,0.125,0.7590597453476984
95,0.125,0.7659157688540646
96,0.1278409090909091,0.7659157688540646
97,0.1278409090909091,0.77179236043095
98,0.13636363636363635,0.77179236043095
99,0.13636363636363635,0.781586679725759
100,0.13920454545454544,0.781586679725759
101,0.13920454545454544,0.7933398628795298
102,0.14488636363636365,0.7933398628795298
103,0.14488636363636365,0.7943192948090108
104,0.14772727272727273,0.7943192948090108
105,0.14772727272727273,0.7982370225269344
106,0.15056818181818182,0.7982370225269344
107,0.15056818181818182,0.8031341821743389
108,0.1534090909090909,0.8031341821743389
109,0.1534090909090909,0.8109696376101861
110,0.15625,0.8109696376101861
111,0.15625,0.8168462291870715
112,0.1590909090909091,0.8168462291870715
113,0.1590909090909091,0.8207639569049952
114,0.17045454545454544,0.8207639569049952
115,0.17045454545454544,0.8266405484818805
116,0.17329545454545456,0.8266405484818805
117,0.17329545454545456,0.8315377081292851
118,0.17897727272727273,0.8315377081292851
119,0.17897727272727273,0.8344760039177277
120,0.18181818181818182,0.8344760039177277
121,0.18181818181818182,0.8393731635651323
122,0.1875,0.8393731635651323
123,0.1875,0.8442703232125367
124,0.1903409090909091,0.8442703232125367
125,0.1903409090909091,0.8462291870714985
126,0.19318181818181818,0.8462291870714985
127,0.19318181818181818,0.8491674828599413
128,0.20170454545454544,0.8491674828599413
129,0.20170454545454544,0.8511263467189031
130,0.20738636363636365,0.8511263467189031
131,0.20738636363636365,0.8521057786483839
132,0.21022727272727273,0.8521057786483839
133,0.21022727272727273,0.8579823702252694
134,0.21306818181818182,0.8579823702252694
135,0.21306818181818182,0.8589618021547503
136,0.2159090909090909,0.8589618021547503
137,0.2159090909090909,0.8628795298726738
138,0.2215909090909091,0.8628795298726738
139,0.2215909090909091,0.8648383937316356
140,0.22727272727272727,0.8648383937316356
141,0.22727272727272727,0.8667972575905974
142,0.23295454545454544,0.8667972575905974
143,0.23295454545454544,0.8677766895200784
144,0.24147727272727273,0.8677766895200784
